"Participant","Illusion_Type","Trial","RT","Error","Illusion_Strength","Illusion_Difference"
"S01","Ponzo",3,1.446,1,25,0.16
"S01","Ponzo",4,1.911,1,8.33333333333334,0.04
"S01","Ponzo",7,0.933,0,8.33333333333334,0.28
"S01","Ponzo",11,0.784,0,16.6666666666667,0.4
"S01","Ponzo",12,2.098,1,25,0.04
"S01","Ponzo",16,1.167,0,16.6666666666667,0.28
"S01","Ponzo",17,2.081,0,16.6666666666667,0.16
"S01","Ponzo",19,1.671,1,8.33333333333334,0.04
"S01","Ponzo",20,0.885,0,8.33333333333334,0.4
"S01","Ponzo",21,0.901,0,16.6666666666667,0.4
"S01","Ponzo",23,3.047,0,25,0.28
"S01","Ponzo",24,1.057,0,25,0.4
"S01","Ponzo",26,2.524,0,8.33333333333334,0.16
"S01","Ponzo",32,1.49,0,16.6666666666667,0.28
"S01","Ponzo",36,1.529,1,16.6666666666667,0.04
"S01","Ponzo",40,0.868,0,8.33333333333334,0.28
"S01","Ponzo",41,0.992,0,8.33333333333334,0.16
"S01","Ponzo",44,1.942,1,25,0.16
"S01","Ponzo",46,2.083,1,25,0.04
"S01","Ponzo",48,1.776,1,16.6666666666667,0.04
"S01","Ponzo",50,1.531,1,25,0.28
"S01","Ponzo",51,1.562,0,25,0.4
"S01","Ponzo",52,1.812,0,16.6666666666667,0.16
"S01","Ponzo",55,1.492,0,8.33333333333334,0.4
"S01","Ebbinghaus",1,1.275,0,1.4,0.56
"S01","Ebbinghaus",2,0.905,0,2.1,0.56
"S01","Ebbinghaus",3,2.199,1,1.4,0.08
"S01","Ebbinghaus",14,1.758,0,1.4,0.08
"S01","Ebbinghaus",17,0.692,0,0.7,0.56
"S01","Ebbinghaus",18,1.214,1,2.1,0.08
"S01","Ebbinghaus",21,1.564,0,1.4,0.32
"S01","Ebbinghaus",23,0.684,0,0.7,0.8
"S01","Ebbinghaus",32,2.177,0,0.7,0.08
"S01","Ebbinghaus",34,2.424,1,2.1,0.08
"S01","Ebbinghaus",36,0.491,0,2.1,0.8
"S01","Ebbinghaus",40,0.489,0,2.1,0.8
"S01","Ebbinghaus",41,0.832,0,0.7,0.32
"S01","Ebbinghaus",43,0.737,0,0.7,0.8
"S01","Ebbinghaus",44,2.155,0,2.1,0.32
"S01","Ebbinghaus",45,2.67,1,0.7,0.08
"S01","Ebbinghaus",46,0.606,0,0.7,0.56
"S01","Ebbinghaus",47,0.614,0,1.4,0.8
"S01","Ebbinghaus",50,0.886,0,0.7,0.32
"S01","Ebbinghaus",51,0.637,0,1.4,0.8
"S01","Ebbinghaus",52,1.114,0,2.1,0.56
"S01","Ebbinghaus",54,0.57,0,1.4,0.56
"S01","Ebbinghaus",55,0.988,0,1.4,0.32
"S01","Ebbinghaus",56,1.007,0,2.1,0.32
"S01","Vertical-Horizontal",1,2.276,1,60,0.03
"S01","Vertical-Horizontal",2,1.112,0,30,0.03
"S01","Vertical-Horizontal",4,0.998,0,90,0.21
"S01","Vertical-Horizontal",8,1.226,0,90,0.03
"S01","Vertical-Horizontal",13,1.069,1,90,0.12
"S01","Vertical-Horizontal",15,0.676,1,60,0.12
"S01","Vertical-Horizontal",19,0.856,0,30,0.21
"S01","Vertical-Horizontal",20,1.267,1,30,0.03
"S01","Vertical-Horizontal",23,2.264,1,60,0.21
"S01","Vertical-Horizontal",28,2.294,0,30,0.21
"S01","Vertical-Horizontal",29,1.478,0,90,0.21
"S01","Vertical-Horizontal",30,1.197,1,90,0.03
"S01","Vertical-Horizontal",34,0.896,0,60,0.3
"S01","Vertical-Horizontal",38,0.994,0,30,0.3
"S01","Vertical-Horizontal",39,0.78,1,60,0.03
"S01","Vertical-Horizontal",41,1.26,1,30,0.12
"S01","Vertical-Horizontal",43,1.265,0,30,0.12
"S01","Vertical-Horizontal",46,1.13,0,60,0.3
"S01","Vertical-Horizontal",48,1.072,0,60,0.12
"S01","Vertical-Horizontal",50,0.925,0,90,0.3
"S01","Vertical-Horizontal",51,0.987,0,60,0.21
"S01","Vertical-Horizontal",52,0.599,0,90,0.3
"S01","Vertical-Horizontal",55,0.574,1,90,0.12
"S01","Vertical-Horizontal",56,0.656,0,30,0.3
"S01","Müller-Lyer",1,0.854,0,16.6666666666667,0.5
"S01","Müller-Lyer",2,0.87,1,33.3333333333333,0.05
"S01","Müller-Lyer",4,2.677,0,50,0.35
"S01","Müller-Lyer",7,1.801,1,16.6666666666667,0.05
"S01","Müller-Lyer",8,1.273,1,33.3333333333333,0.35
"S01","Müller-Lyer",13,2.012,0,33.3333333333333,0.5
"S01","Müller-Lyer",15,0.929,0,16.6666666666667,0.35
"S01","Müller-Lyer",17,1.587,0,16.6666666666667,0.5
"S01","Müller-Lyer",19,0.871,1,50,0.05
"S01","Müller-Lyer",21,1.44,0,33.3333333333333,0.5
"S01","Müller-Lyer",22,2.691,0,50,0.5
"S01","Müller-Lyer",24,1.375,1,50,0.35
"S01","Müller-Lyer",26,0.692,1,33.3333333333333,0.05
"S01","Müller-Lyer",27,0.856,1,16.6666666666667,0.2
"S01","Müller-Lyer",28,0.646,1,33.3333333333333,0.35
"S01","Müller-Lyer",40,1.576,0,16.6666666666667,0.35
"S01","Müller-Lyer",41,0.726,1,33.3333333333333,0.2
"S01","Müller-Lyer",44,0.512,1,33.3333333333333,0.2
"S01","Müller-Lyer",47,0.833,1,16.6666666666667,0.05
"S01","Müller-Lyer",48,2.545,0,16.6666666666667,0.2
"S01","Müller-Lyer",50,1.954,0,50,0.5
"S01","Müller-Lyer",51,3.828,1,50,0.2
"S01","Müller-Lyer",55,1.269,1,50,0.05
"S01","Müller-Lyer",56,0.614,1,50,0.2
"S01","Delboeuf",2,0.565,0,0.7,0.56
"S01","Delboeuf",3,0.832,0,2.1,0.56
"S01","Delboeuf",6,1.117,0,2.1,0.8
"S01","Delboeuf",7,1.785,0,2.1,0.32
"S01","Delboeuf",8,1.222,0,0.7,0.08
"S01","Delboeuf",9,1.843,1,1.4,0.08
"S01","Delboeuf",10,2.72,0,0.7,0.08
"S01","Delboeuf",12,0.851,0,0.7,0.32
"S01","Delboeuf",15,1.479,0,1.4,0.32
"S01","Delboeuf",18,0.943,0,1.4,0.56
"S01","Delboeuf",19,0.78,0,0.7,0.56
"S01","Delboeuf",22,1.802,0,2.1,0.08
"S01","Delboeuf",29,0.864,0,1.4,0.8
"S01","Delboeuf",31,0.738,0,1.4,0.8
"S01","Delboeuf",33,0.578,0,0.7,0.8
"S01","Delboeuf",35,1.276,0,1.4,0.56
"S01","Delboeuf",38,2.28,1,2.1,0.08
"S01","Delboeuf",40,1.521,0,1.4,0.32
"S01","Delboeuf",42,0.746,0,0.7,0.8
"S01","Delboeuf",44,0.885,0,2.1,0.32
"S01","Delboeuf",46,0.751,0,2.1,0.8
"S01","Delboeuf",48,1.416,0,1.4,0.08
"S01","Delboeuf",50,0.816,0,0.7,0.32
"S01","Delboeuf",53,1.005,0,2.1,0.56
"S01","Müller-Lyer",3,1.542,0,50,0.35
"S01","Müller-Lyer",4,2.087,0,33.3333333333333,0.2
"S01","Müller-Lyer",5,0.915,1,33.3333333333333,0.05
"S01","Müller-Lyer",13,1.71,0,16.6666666666667,0.2
"S01","Müller-Lyer",14,1.632,0,50,0.5
"S01","Müller-Lyer",18,1.151,1,16.6666666666667,0.2
"S01","Müller-Lyer",19,2.384,1,33.3333333333333,0.35
"S01","Müller-Lyer",22,0.84,1,50,0.05
"S01","Müller-Lyer",26,0.607,1,50,0.35
"S01","Müller-Lyer",29,1.53,0,33.3333333333333,0.5
"S01","Müller-Lyer",30,1.125,0,50,0.5
"S01","Müller-Lyer",31,1.443,1,33.3333333333333,0.2
"S01","Müller-Lyer",33,0.657,1,50,0.2
"S01","Müller-Lyer",35,0.53,1,50,0.2
"S01","Müller-Lyer",36,1.558,0,16.6666666666667,0.35
"S01","Müller-Lyer",37,0.885,1,16.6666666666667,0.05
"S01","Müller-Lyer",38,0.913,0,16.6666666666667,0.5
"S01","Müller-Lyer",39,0.781,1,33.3333333333333,0.05
"S01","Müller-Lyer",40,0.901,1,16.6666666666667,0.05
"S01","Müller-Lyer",42,0.965,0,16.6666666666667,0.35
"S01","Müller-Lyer",49,1.988,1,50,0.05
"S01","Müller-Lyer",53,3.196,0,33.3333333333333,0.35
"S01","Müller-Lyer",54,1.314,0,33.3333333333333,0.5
"S01","Müller-Lyer",55,0.861,0,16.6666666666667,0.5
"S01","Vertical-Horizontal",1,0.997,0,60,0.21
"S01","Vertical-Horizontal",2,0.656,0,30,0.3
"S01","Vertical-Horizontal",3,2.697,1,90,0.03
"S01","Vertical-Horizontal",7,1.23,1,60,0.21
"S01","Vertical-Horizontal",10,1.373,0,30,0.03
"S01","Vertical-Horizontal",14,1.355,1,30,0.21
"S01","Vertical-Horizontal",16,1.002,1,60,0.12
"S01","Vertical-Horizontal",17,1.881,1,90,0.03
"S01","Vertical-Horizontal",18,0.932,0,60,0.3
"S01","Vertical-Horizontal",21,0.981,0,30,0.3
"S01","Vertical-Horizontal",29,2.02,0,60,0.12
"S01","Vertical-Horizontal",30,1.16,1,30,0.03
"S01","Vertical-Horizontal",31,1.11,0,90,0.21
"S01","Vertical-Horizontal",33,0.858,1,60,0.03
"S01","Vertical-Horizontal",34,0.734,0,90,0.3
"S01","Vertical-Horizontal",37,1.158,0,60,0.3
"S01","Vertical-Horizontal",38,0.698,0,30,0.21
"S01","Vertical-Horizontal",39,0.683,0,90,0.21
"S01","Vertical-Horizontal",40,0.587,1,60,0.03
"S01","Vertical-Horizontal",43,1.284,0,90,0.12
"S01","Vertical-Horizontal",48,0.618,1,90,0.12
"S01","Vertical-Horizontal",50,1.408,0,90,0.3
"S01","Vertical-Horizontal",52,1.029,1,30,0.12
"S01","Vertical-Horizontal",55,1.286,0,30,0.12
"S01","Ebbinghaus",2,0.568,0,1.4,0.56
"S01","Ebbinghaus",11,1.954,0,1.4,0.32
"S01","Ebbinghaus",12,1.525,0,2.1,0.32
"S01","Ebbinghaus",14,1.13,0,2.1,0.8
"S01","Ebbinghaus",15,0.645,0,2.1,0.8
"S01","Ebbinghaus",16,0.65,0,1.4,0.8
"S01","Ebbinghaus",17,0.674,1,1.4,0.08
"S01","Ebbinghaus",18,0.595,0,0.7,0.8
"S01","Ebbinghaus",19,0.935,1,1.4,0.08
"S01","Ebbinghaus",20,0.959,0,1.4,0.32
"S01","Ebbinghaus",23,0.544,0,2.1,0.56
"S01","Ebbinghaus",24,0.655,0,0.7,0.56
"S01","Ebbinghaus",25,4.313,1,2.1,0.08
"S01","Ebbinghaus",28,1.146,0,0.7,0.32
"S01","Ebbinghaus",29,0.899,0,0.7,0.08
"S01","Ebbinghaus",34,0.78,0,1.4,0.8
"S01","Ebbinghaus",35,0.967,0,0.7,0.56
"S01","Ebbinghaus",36,1.047,0,0.7,0.32
"S01","Ebbinghaus",45,1.105,1,0.7,0.08
"S01","Ebbinghaus",46,0.671,0,0.7,0.8
"S01","Ebbinghaus",51,0.983,0,2.1,0.32
"S01","Ebbinghaus",52,0.966,1,2.1,0.08
"S01","Ebbinghaus",53,0.67,0,2.1,0.56
"S01","Ebbinghaus",54,0.483,0,1.4,0.56
"S01","Delboeuf",2,0.892,0,0.7,0.32
"S01","Delboeuf",5,0.737,0,0.7,0.56
"S01","Delboeuf",6,1.046,0,1.4,0.32
"S01","Delboeuf",9,1.146,0,2.1,0.8
"S01","Delboeuf",14,2.318,0,1.4,0.08
"S01","Delboeuf",15,1.083,0,2.1,0.32
"S01","Delboeuf",17,2.44,0,1.4,0.08
"S01","Delboeuf",21,2.413,0,2.1,0.08
"S01","Delboeuf",24,0.555,0,0.7,0.8
"S01","Delboeuf",25,1.356,0,1.4,0.56
"S01","Delboeuf",28,1.029,1,2.1,0.56
"S01","Delboeuf",29,0.82,0,1.4,0.8
"S01","Delboeuf",30,0.873,0,0.7,0.56
"S01","Delboeuf",33,1.832,1,0.7,0.08
"S01","Delboeuf",40,0.847,0,0.7,0.32
"S01","Delboeuf",41,0.72,0,0.7,0.8
"S01","Delboeuf",43,1.782,0,0.7,0.08
"S01","Delboeuf",44,0.897,0,1.4,0.8
"S01","Delboeuf",45,0.99,0,1.4,0.56
"S01","Delboeuf",46,0.905,0,1.4,0.32
"S01","Delboeuf",47,0.873,0,2.1,0.32
"S01","Delboeuf",49,0.758,0,2.1,0.8
"S01","Delboeuf",51,2.189,1,2.1,0.08
"S01","Delboeuf",53,1.188,0,2.1,0.56
"S01","Ponzo",4,1.912,1,8.33333333333334,0.16
"S01","Ponzo",7,0.829,0,8.33333333333334,0.4
"S01","Ponzo",10,1.249,1,25,0.16
"S01","Ponzo",11,1.081,0,25,0.4
"S01","Ponzo",13,0.897,1,16.6666666666667,0.04
"S01","Ponzo",15,2.049,0,25,0.16
"S01","Ponzo",16,1.3,0,16.6666666666667,0.28
"S01","Ponzo",17,1.008,0,25,0.4
"S01","Ponzo",19,1.572,0,16.6666666666667,0.16
"S01","Ponzo",21,1.208,0,8.33333333333334,0.04
"S01","Ponzo",23,1.207,1,25,0.04
"S01","Ponzo",24,0.927,0,8.33333333333334,0.4
"S01","Ponzo",26,0.868,0,16.6666666666667,0.28
"S01","Ponzo",27,1.495,1,16.6666666666667,0.04
"S01","Ponzo",29,1.076,0,8.33333333333334,0.28
"S01","Ponzo",30,0.97,0,25,0.28
"S01","Ponzo",31,0.76,0,8.33333333333334,0.16
"S01","Ponzo",32,0.675,1,8.33333333333334,0.04
"S01","Ponzo",33,0.712,0,16.6666666666667,0.16
"S01","Ponzo",36,1.352,1,25,0.04
"S01","Ponzo",39,0.585,0,8.33333333333334,0.28
"S01","Ponzo",42,0.718,0,16.6666666666667,0.4
"S01","Ponzo",50,1.557,1,25,0.28
"S01","Ponzo",53,0.704,0,16.6666666666667,0.4
"S02","Müller-Lyer",5,0.769,1,33.3333333333333,0.05
"S02","Müller-Lyer",6,1.118,0,16.6666666666667,0.35
"S02","Müller-Lyer",7,1.284,0,16.6666666666667,0.2
"S02","Müller-Lyer",9,0.612,1,50,0.2
"S02","Müller-Lyer",11,0.633,1,50,0.2
"S02","Müller-Lyer",12,1.244,0,33.3333333333333,0.5
"S02","Müller-Lyer",14,0.829,1,33.3333333333333,0.05
"S02","Müller-Lyer",18,0.873,1,33.3333333333333,0.35
"S02","Müller-Lyer",19,0.53,1,33.3333333333333,0.2
"S02","Müller-Lyer",21,0.842,1,50,0.35
"S02","Müller-Lyer",24,1.113,0,33.3333333333333,0.35
"S02","Müller-Lyer",26,1.062,0,50,0.5
"S02","Müller-Lyer",27,0.816,0,16.6666666666667,0.5
"S02","Müller-Lyer",29,0.689,1,50,0.05
"S02","Müller-Lyer",30,0.779,1,16.6666666666667,0.2
"S02","Müller-Lyer",35,1.049,1,50,0.35
"S02","Müller-Lyer",41,0.612,0,16.6666666666667,0.5
"S02","Müller-Lyer",46,0.707,1,16.6666666666667,0.05
"S02","Müller-Lyer",47,0.926,0,33.3333333333333,0.5
"S02","Müller-Lyer",48,0.792,1,50,0.05
"S02","Müller-Lyer",51,0.828,0,16.6666666666667,0.35
"S02","Müller-Lyer",52,1.015,1,16.6666666666667,0.05
"S02","Müller-Lyer",55,0.916,0,50,0.5
"S02","Müller-Lyer",56,1,0,33.3333333333333,0.2
"S02","Vertical-Horizontal",2,1.002,0,30,0.3
"S02","Vertical-Horizontal",3,1.208,0,30,0.21
"S02","Vertical-Horizontal",6,1.099,0,30,0.21
"S02","Vertical-Horizontal",7,0.821,0,90,0.3
"S02","Vertical-Horizontal",8,1.007,0,60,0.21
"S02","Vertical-Horizontal",10,1.362,1,60,0.03
"S02","Vertical-Horizontal",12,0.696,1,30,0.03
"S02","Vertical-Horizontal",14,1.211,0,60,0.03
"S02","Vertical-Horizontal",15,0.867,1,60,0.12
"S02","Vertical-Horizontal",20,0.899,0,90,0.3
"S02","Vertical-Horizontal",27,1.237,1,90,0.12
"S02","Vertical-Horizontal",29,0.452,0,60,0.3
"S02","Vertical-Horizontal",33,1.157,1,30,0.12
"S02","Vertical-Horizontal",36,0.619,1,30,0.03
"S02","Vertical-Horizontal",39,0.729,0,60,0.3
"S02","Vertical-Horizontal",40,0.804,0,60,0.21
"S02","Vertical-Horizontal",41,0.819,0,60,0.12
"S02","Vertical-Horizontal",43,0.827,1,90,0.03
"S02","Vertical-Horizontal",44,0.715,0,90,0.21
"S02","Vertical-Horizontal",45,0.911,0,90,0.03
"S02","Vertical-Horizontal",47,0.625,0,30,0.12
"S02","Vertical-Horizontal",51,0.55,0,30,0.3
"S02","Vertical-Horizontal",52,0.606,0,90,0.21
"S02","Vertical-Horizontal",56,0.859,0,90,0.12
"S02","Delboeuf",1,0.51,0,0.7,0.8
"S02","Delboeuf",3,1.265,0,0.7,0.56
"S02","Delboeuf",4,0.944,0,0.7,0.32
"S02","Delboeuf",5,0.939,0,0.7,0.56
"S02","Delboeuf",6,1.97,0,2.1,0.08
"S02","Delboeuf",9,0.865,0,2.1,0.32
"S02","Delboeuf",12,0.836,0,2.1,0.8
"S02","Delboeuf",14,0.961,1,1.4,0.08
"S02","Delboeuf",16,1.258,0,0.7,0.32
"S02","Delboeuf",22,1.16,0,1.4,0.32
"S02","Delboeuf",23,1.401,0,1.4,0.08
"S02","Delboeuf",29,1.005,0,2.1,0.56
"S02","Delboeuf",30,1.195,0,1.4,0.32
"S02","Delboeuf",31,0.921,0,0.7,0.08
"S02","Delboeuf",35,1.039,0,2.1,0.8
"S02","Delboeuf",36,1.21,0,1.4,0.8
"S02","Delboeuf",43,1.356,0,2.1,0.08
"S02","Delboeuf",44,1.493,0,2.1,0.32
"S02","Delboeuf",45,0.693,0,1.4,0.8
"S02","Delboeuf",48,0.842,1,0.7,0.08
"S02","Delboeuf",49,1.109,0,2.1,0.56
"S02","Delboeuf",50,1.104,0,1.4,0.56
"S02","Delboeuf",51,0.718,0,0.7,0.8
"S02","Delboeuf",56,0.826,0,1.4,0.56
"S02","Ebbinghaus",10,0.794,1,1.4,0.08
"S02","Ebbinghaus",11,1.236,0,1.4,0.32
"S02","Ebbinghaus",12,1.075,0,1.4,0.56
"S02","Ebbinghaus",13,0.81,0,2.1,0.56
"S02","Ebbinghaus",15,0.682,1,2.1,0.08
"S02","Ebbinghaus",16,1.005,1,0.7,0.08
"S02","Ebbinghaus",22,0.544,1,1.4,0.08
"S02","Ebbinghaus",23,0.585,0,2.1,0.56
"S02","Ebbinghaus",25,0.604,1,2.1,0.32
"S02","Ebbinghaus",26,0.702,1,2.1,0.32
"S02","Ebbinghaus",27,0.775,0,2.1,0.8
"S02","Ebbinghaus",29,0.78,0,0.7,0.32
"S02","Ebbinghaus",33,0.544,0,0.7,0.8
"S02","Ebbinghaus",34,0.514,0,2.1,0.8
"S02","Ebbinghaus",36,0.597,0,0.7,0.8
"S02","Ebbinghaus",37,0.616,0,0.7,0.56
"S02","Ebbinghaus",39,0.646,1,1.4,0.32
"S02","Ebbinghaus",40,0.657,0,0.7,0.56
"S02","Ebbinghaus",45,1.245,0,0.7,0.32
"S02","Ebbinghaus",46,0.622,1,2.1,0.08
"S02","Ebbinghaus",48,0.563,0,1.4,0.56
"S02","Ebbinghaus",50,0.521,0,1.4,0.8
"S02","Ebbinghaus",54,0.924,1,0.7,0.08
"S02","Ebbinghaus",55,0.519,0,1.4,0.8
"S02","Ponzo",1,0.906,1,25,0.04
"S02","Ponzo",6,1.182,1,16.6666666666667,0.04
"S02","Ponzo",7,1.024,0,16.6666666666667,0.28
"S02","Ponzo",8,0.73,0,16.6666666666667,0.16
"S02","Ponzo",12,0.734,0,25,0.28
"S02","Ponzo",13,0.574,0,8.33333333333334,0.28
"S02","Ponzo",15,0.704,1,25,0.04
"S02","Ponzo",18,0.563,0,8.33333333333334,0.4
"S02","Ponzo",26,0.912,0,25,0.4
"S02","Ponzo",27,0.736,0,25,0.28
"S02","Ponzo",28,0.948,1,25,0.16
"S02","Ponzo",29,0.631,0,8.33333333333334,0.16
"S02","Ponzo",30,0.714,1,8.33333333333334,0.04
"S02","Ponzo",31,0.591,0,8.33333333333334,0.28
"S02","Ponzo",35,0.516,1,16.6666666666667,0.04
"S02","Ponzo",39,0.495,0,8.33333333333334,0.4
"S02","Ponzo",40,0.535,0,16.6666666666667,0.28
"S02","Ponzo",41,0.616,0,8.33333333333334,0.16
"S02","Ponzo",42,0.634,0,16.6666666666667,0.4
"S02","Ponzo",45,1.107,0,8.33333333333334,0.04
"S02","Ponzo",47,0.714,0,25,0.4
"S02","Ponzo",51,0.615,0,16.6666666666667,0.16
"S02","Ponzo",52,0.514,0,16.6666666666667,0.4
"S02","Ponzo",54,0.576,1,25,0.16
"S02","Delboeuf",4,0.92,1,1.4,0.08
"S02","Delboeuf",5,0.822,0,0.7,0.08
"S02","Delboeuf",10,1.001,0,2.1,0.08
"S02","Delboeuf",12,0.959,0,2.1,0.32
"S02","Delboeuf",14,1.087,1,1.4,0.32
"S02","Delboeuf",16,1.289,1,0.7,0.08
"S02","Delboeuf",17,0.86,0,1.4,0.56
"S02","Delboeuf",20,0.764,1,1.4,0.08
"S02","Delboeuf",22,0.775,0,2.1,0.8
"S02","Delboeuf",24,0.693,0,0.7,0.56
"S02","Delboeuf",25,0.693,0,0.7,0.8
"S02","Delboeuf",29,0.856,0,1.4,0.56
"S02","Delboeuf",30,0.614,0,1.4,0.8
"S02","Delboeuf",31,0.56,0,1.4,0.8
"S02","Delboeuf",32,0.684,0,2.1,0.56
"S02","Delboeuf",33,0.759,0,2.1,0.56
"S02","Delboeuf",36,1.146,1,0.7,0.32
"S02","Delboeuf",37,0.97,0,0.7,0.32
"S02","Delboeuf",40,0.921,0,1.4,0.32
"S02","Delboeuf",45,1.128,0,2.1,0.08
"S02","Delboeuf",49,0.431,0,0.7,0.8
"S02","Delboeuf",50,1.091,0,2.1,0.32
"S02","Delboeuf",51,0.562,0,2.1,0.8
"S02","Delboeuf",56,0.51,0,0.7,0.56
"S02","Müller-Lyer",2,1.128,0,33.3333333333333,0.35
"S02","Müller-Lyer",4,0.845,0,50,0.5
"S02","Müller-Lyer",9,0.598,0,33.3333333333333,0.5
"S02","Müller-Lyer",12,1.112,0,16.6666666666667,0.2
"S02","Müller-Lyer",13,0.488,1,50,0.05
"S02","Müller-Lyer",15,0.99,0,33.3333333333333,0.5
"S02","Müller-Lyer",16,0.8,0,50,0.35
"S02","Müller-Lyer",18,0.763,1,33.3333333333333,0.2
"S02","Müller-Lyer",20,0.658,0,16.6666666666667,0.35
"S02","Müller-Lyer",22,0.648,0,16.6666666666667,0.35
"S02","Müller-Lyer",23,0.776,0,16.6666666666667,0.2
"S02","Müller-Lyer",28,2.184,1,50,0.2
"S02","Müller-Lyer",29,1.215,0,33.3333333333333,0.2
"S02","Müller-Lyer",33,1.341,0,50,0.35
"S02","Müller-Lyer",36,0.574,0,16.6666666666667,0.5
"S02","Müller-Lyer",37,0.622,0,16.6666666666667,0.5
"S02","Müller-Lyer",39,1.063,0,50,0.5
"S02","Müller-Lyer",43,0.781,1,50,0.2
"S02","Müller-Lyer",46,0.865,1,33.3333333333333,0.35
"S02","Müller-Lyer",48,0.775,1,50,0.05
"S02","Müller-Lyer",53,0.735,1,33.3333333333333,0.05
"S02","Müller-Lyer",54,0.549,1,16.6666666666667,0.05
"S02","Müller-Lyer",55,0.975,1,33.3333333333333,0.05
"S02","Müller-Lyer",56,0.695,1,16.6666666666667,0.05
"S02","Ponzo",4,0.683,1,25,0.04
"S02","Ponzo",6,0.755,0,8.33333333333334,0.16
"S02","Ponzo",7,0.622,1,16.6666666666667,0.04
"S02","Ponzo",10,0.514,1,25,0.04
"S02","Ponzo",11,0.607,0,16.6666666666667,0.28
"S02","Ponzo",14,1.177,0,8.33333333333334,0.16
"S02","Ponzo",15,0.561,1,25,0.16
"S02","Ponzo",18,0.642,1,16.6666666666667,0.16
"S02","Ponzo",19,0.874,0,25,0.28
"S02","Ponzo",27,0.569,0,8.33333333333334,0.28
"S02","Ponzo",30,0.427,1,25,0.16
"S02","Ponzo",31,0.791,1,16.6666666666667,0.16
"S02","Ponzo",33,0.534,0,8.33333333333334,0.4
"S02","Ponzo",34,0.58,0,16.6666666666667,0.28
"S02","Ponzo",36,0.493,0,16.6666666666667,0.4
"S02","Ponzo",39,1.289,0,8.33333333333334,0.04
"S02","Ponzo",44,0.867,0,25,0.28
"S02","Ponzo",47,0.857,0,25,0.4
"S02","Ponzo",48,0.542,0,8.33333333333334,0.4
"S02","Ponzo",49,0.6,0,16.6666666666667,0.4
"S02","Ponzo",50,0.575,1,16.6666666666667,0.04
"S02","Ponzo",52,0.52,1,8.33333333333334,0.04
"S02","Ponzo",53,0.515,0,8.33333333333334,0.28
"S02","Ponzo",54,0.923,0,25,0.4
"S02","Ebbinghaus",1,0.746,1,2.1,0.32
"S02","Ebbinghaus",3,1.035,1,1.4,0.08
"S02","Ebbinghaus",5,0.589,0,0.7,0.56
"S02","Ebbinghaus",7,0.727,1,1.4,0.32
"S02","Ebbinghaus",8,0.474,0,1.4,0.32
"S02","Ebbinghaus",9,0.665,1,1.4,0.08
"S02","Ebbinghaus",10,0.891,0,2.1,0.56
"S02","Ebbinghaus",12,0.72,1,0.7,0.08
"S02","Ebbinghaus",13,0.507,0,0.7,0.56
"S02","Ebbinghaus",15,0.557,0,0.7,0.8
"S02","Ebbinghaus",20,0.826,1,2.1,0.32
"S02","Ebbinghaus",22,1.109,0,1.4,0.8
"S02","Ebbinghaus",23,0.59,0,1.4,0.8
"S02","Ebbinghaus",26,0.573,0,0.7,0.32
"S02","Ebbinghaus",30,0.66,0,2.1,0.8
"S02","Ebbinghaus",31,0.517,0,2.1,0.8
"S02","Ebbinghaus",38,0.951,1,2.1,0.56
"S02","Ebbinghaus",45,0.61,0,0.7,0.32
"S02","Ebbinghaus",48,0.569,1,2.1,0.08
"S02","Ebbinghaus",49,0.841,1,0.7,0.08
"S02","Ebbinghaus",51,0.582,0,0.7,0.8
"S02","Ebbinghaus",52,0.53,0,1.4,0.56
"S02","Ebbinghaus",54,0.91,0,1.4,0.56
"S02","Ebbinghaus",55,0.652,1,2.1,0.08
"S02","Vertical-Horizontal",1,0.895,0,90,0.12
"S02","Vertical-Horizontal",4,0.695,1,90,0.03
"S02","Vertical-Horizontal",6,0.538,1,30,0.03
"S02","Vertical-Horizontal",7,0.872,0,60,0.3
"S02","Vertical-Horizontal",8,0.933,0,90,0.12
"S02","Vertical-Horizontal",14,0.582,1,30,0.12
"S02","Vertical-Horizontal",15,0.579,1,60,0.03
"S02","Vertical-Horizontal",17,0.683,0,90,0.21
"S02","Vertical-Horizontal",20,0.885,1,60,0.03
"S02","Vertical-Horizontal",21,0.641,0,60,0.21
"S02","Vertical-Horizontal",22,0.802,1,30,0.12
"S02","Vertical-Horizontal",26,0.72,0,90,0.21
"S02","Vertical-Horizontal",32,0.495,1,30,0.03
"S02","Vertical-Horizontal",33,0.615,0,30,0.3
"S02","Vertical-Horizontal",37,0.872,0,60,0.12
"S02","Vertical-Horizontal",39,0.896,0,30,0.21
"S02","Vertical-Horizontal",40,0.67,0,90,0.3
"S02","Vertical-Horizontal",43,0.626,0,30,0.3
"S02","Vertical-Horizontal",45,0.596,1,90,0.03
"S02","Vertical-Horizontal",47,1.344,1,60,0.12
"S02","Vertical-Horizontal",51,0.917,0,60,0.21
"S02","Vertical-Horizontal",52,0.607,0,30,0.21
"S02","Vertical-Horizontal",55,0.543,0,60,0.3
"S02","Vertical-Horizontal",56,0.603,0,90,0.3
"S03","Ebbinghaus",1,2.677,0,2.1,0.56
"S03","Ebbinghaus",4,1.049,0,1.4,0.8
"S03","Ebbinghaus",5,3.553,1,0.7,0.08
"S03","Ebbinghaus",6,0.944,1,2.1,0.08
