"Sensitivity_Median","Sensitivity_Mean","Sensitivity_MAP","magnitude","noise","n","parent_n","parent_effect","Parameter","Median","CI","CI_low","CI_high","pd","ROPE_CI","ROPE_low","ROPE_high","ROPE_Percentage","ESS","Rhat","Prior_Distribution","Prior_Location","Prior_Scale"
0.00117297862742821,0.00139513321863684,0.00212899266370862,10,0.1,15,1e+05,0.989593642696141,"x",1.00581005339335,89,0.980314171642265,1.03014220810185,1,89,-0.114360344003235,0.114360344003235,0,3178,0.999698770853572,"normal",0,2.5180096553475
0.00319174699906143,0.00275987102271698,0.00538998046911177,10,0.104904904904905,15,1e+05,0.988680050474515,"x",0.962362166246815,89,0.918308860366026,1.00802550896497,1,89,-0.119661967363974,0.119661967363974,0,2426,1.00055740537784,"normal",0,2.41665714767078
0.0290499394050752,0.327904225619464,0.0197198183970294,10,0.10980980980981,15,1e+05,0.98826702719766,"x",0.953224699188981,89,0.881431991225468,1.02480263521913,1,89,-0.0803464605453222,0.0803464605453222,0,2708,1.00059332929432,"normal",0,2.40992754704721
0.00559490315939843,0.00681695683564258,0.00055282610108403,10,0.114714714714715,15,1e+05,0.986743961749427,"x",0.97117272298827,89,0.899283944158525,1.04640412696662,1,89,-0.085158591447978,0.085158591447978,0,2449,1.00050298811192,"normal",0,2.45870124848322
0.0262710501687364,3.53800787671796,0.0217354746068876,10,0.11961961961962,15,1e+05,0.986157367385628,"x",0.989697270845939,89,0.921277518316804,1.07104724855269,1,89,-0.0988308109756942,0.0988308109756942,0,3066,0.999643454604968,"normal",0,2.50185907878242
0.00209476747830797,0.00245454752316695,0.00204322651909563,10,0.124524524524525,15,1e+05,0.985410414759958,"x",0.985596842706303,89,0.94617689338649,1.02432802286701,1,89,-0.121664026328943,0.121664026328943,0,2794,0.999635437791692,"normal",0,2.47271601679774
0.0133896015894998,0.0151328740498796,0.0186590682674536,10,0.129429429429429,15,1e+05,0.983010456574575,"x",1.00255600180461,89,0.919602453351753,1.10059264653211,1,89,-0.0864518542464052,0.0864518542464052,0,2549,0.999678318198287,"normal",0,2.54325446036738
0.0171048222653372,0.0197974604348882,0.0193502505156889,10,0.134334334334334,15,1e+05,0.981958314928202,"x",0.993289747281856,89,0.876227560379742,1.10690488827708,1,89,-0.0625160053691078,0.0625160053691078,0,2763,0.999297348572444,"normal",0,2.55565898136514
0.00276008434968697,0.0025927686142088,0.00616792487871626,10,0.139239239239239,15,1e+05,0.981698716494994,"x",1.01211334950857,89,0.973936807674514,1.05190551668412,1,89,-0.156900144075513,0.156900144075513,0,2583,1.00017907793612,"normal",0,2.53793922567081
0.00642206928285078,0.00760288595486871,0.0133174083828954,10,0.144144144144144,15,1e+05,0.980258960501661,"x",0.985736075362873,89,0.929662942629799,1.04840272325426,1,89,-0.128457665278736,0.128457665278736,0,2838,0.99999803236362,"normal",0,2.48413048703911
0.0922635555710959,3.53455946842144,0.00593486417318117,10,0.149049049049049,15,1e+05,0.977049525033746,"x",0.908880337775557,89,0.850140054673271,0.975926778960621,1,89,-0.0943513966960628,0.0943513966960628,0,2800,0.999737914025213,"normal",0,2.29480089909654
0.0229243098261036,0.481912974867174,0.00125037634938627,10,0.153953953953954,15,1e+05,0.97675748529517,"x",0.987557533171982,89,0.927434166769056,1.0549307661484,1,89,-0.0887767309728819,0.0887767309728819,0,3464,1.0003970246101,"normal",0,2.49086980925914
0.0242978198805638,0.407923804658995,0.00463598948655494,10,0.158858858858859,15,1e+05,0.975708567952862,"x",1.0533383104087,89,0.988969904785785,1.12484151848882,1,89,-0.0860733515216748,0.0860733515216748,0,3236,0.999501942285414,"normal",0,2.656618898035
0.0134798488061215,0.191216401956589,0.0037954181037878,10,0.163763763763764,15,1e+05,0.973759042592325,"x",0.978122637996553,89,0.941092881538098,1.02114520426708,1,89,-0.152270902263745,0.152270902263745,0,3075,0.99946852753321,"normal",0,2.45417824823639
0.0095357161015227,0.0114118993358702,0.00657818665126081,10,0.168668668668669,15,1e+05,0.971771468688755,"x",0.902437677476254,89,0.830167498581936,0.980764972361485,1,89,-0.0933184773224189,0.0933184773224189,0,3705,1.00020359311175,"normal",0,2.29184777675501
0.0265109481380477,2.35570797638034,0.0101259623491184,10,0.173573573573574,15,1e+05,0.970889901846511,"x",0.984732282210416,89,0.904649565889129,1.05648421881392,1,89,-0.115913878853503,0.115913878853503,0,2472,0.999330691163995,"normal",0,2.49140737184066
0.00737385064170604,0.0085825440487135,0.00588553929649867,10,0.178478478478478,15,1e+05,0.969772055570879,"x",0.961015301950512,89,0.893340935911724,1.03686762313418,1,89,-0.0773938056530065,0.0773938056530065,0,2974,1.00070560134174,"normal",0,2.42931437505481
0.0136316529705696,2.05551088806384,0.000421681679689946,10,0.183383383383383,15,1e+05,0.96688101329411,"x",0.957880454574505,89,0.916894135280233,0.999821511425661,1,89,-0.136896989387489,0.136896989387489,0,2645,1.00057962310586,"normal",0,2.4033457228235
0.0108433725721828,0.0114985634899308,0.0161946623415696,10,0.188288288288288,15,1e+05,0.964818742186895,"x",1.01257737436512,89,0.930071902771026,1.09767228698609,1,89,-0.129115118996712,0.129115118996712,0,2944,0.999505465107416,"normal",0,2.56353581165823
0.010997798072493,0.0124921837892244,0.0047919600330496,10,0.193193193193193,15,1e+05,0.96559873694215,"x",1.04725225337349,89,0.940412213567347,1.1576713824934,1,89,-0.0996153359278977,0.0996153359278977,0,2606,1.00168050397134,"normal",0,2.68147330579918
