"beta","chains","iterations","warmup","Median","Mean","MAP","MAP_density","p_direction_simple","p_direction_AUC","p_MAP","ROPE_range","ROPE_90","ROPE_95","ROPE_full","p_ROPE","bayesfactor_cauchy07","bayesfactor_cauchy1","bayesfactor_normal","CI_low_95_hdi","CI_high_95_hdi","CI_low_90_hdi","CI_high_90_hdi","CI_low_95_quantile","CI_high_95_quantile","CI_low_90_quantile","CI_high_90_quantile","true_effect","outcome_type","iteration"
NA,1,100,40,0.0246870349714154,0.0164463833800817,0.0406223520459669,1.21995788761507,53.0914355528698,53.0914355528698,0.98919394902566,0.0551328895421792,14.5454545454545,13.7931034482759,13.3333333333333,NA,0.343241999697627,0.242672093786221,0.304401845990073,-0.461783155633443,0.569659898313594,-0.55043849284693,0.385246796284876,-0.488175534135349,0.518483884647922,-0.461418215826861,0.501358073558062,0,"binary",1
NA,1,100,40,0.753612944492664,0.770668939542024,0.677995650394396,1.35226969540367,98.9530798810156,98.9530798810156,0.0906276043302043,0.0551328895421792,1.81818181818182,0,1.66666666666667,NA,6.76506000782829,4.78289742553458,5.99954771394716,0.130843205907558,1.57097695566666,0.0355430040080034,1.13256425268832,0.131525120478473,1.53193951887887,0.234384512285244,1.37635953111852,0,"binary",2
NA,1,100,50,-0.157552208341179,-0.169505221458635,-0.329111340165056,1.20249002151403,69.3058123291013,69.3058123291013,0.80580290946055,0.0551328895421792,4.34782608695652,4.08163265306122,4,NA,0.341547727247758,0.241474243164164,0.397922989849274,-0.630434167949188,0.369615666392289,-0.672906685972084,0.200941696489624,-0.623698400910991,0.351989231920561,-0.592116860341714,0.319993997139774,0,"binary",1
NA,1,100,50,0.466318503965795,0.49715477914346,0.437218878006725,1.20629278174861,94.7059782091684,94.7059782091684,0.384570288085495,0.0551328895421792,6.52173913043478,6.12244897959184,8,NA,1.42144189321076,1.0049594185,1.65606257316166,0.00914879151560377,1.21043086992228,0.00914879151560377,0.935146788384727,0.013502543344439,1.17201889530797,0.0294529313135339,1.0073000838421,0,"binary",2
NA,1,100,60,0.0663991138333511,0.0786189323438433,0.0183009951427461,2.0325928852404,65.5707422205777,65.5707422205777,0.992410971114817,0.0551328895421792,32.4324324324324,30.7692307692308,30,NA,0.132135402411102,0.0934197295046493,0.143907315003305,-0.210605206707623,0.408316091448103,-0.210605206707623,0.295754376275809,-0.211417179521396,0.380329589488791,-0.162891590744434,0.299947256805741,0,"binary",1
NA,1,100,60,-0.165384335675303,-0.152567627534263,-0.182949464654382,1.24472989266998,68.262594402055,68.262594402055,0.862940688218012,0.0551328895421792,10.8108108108108,10.2564102564103,10,NA,0.316352168256417,0.223660982957287,0.344535910123581,-0.750075935519735,0.352523213635458,-0.750075935519735,0.18397116086942,-0.657546935737596,0.357487349557132,-0.623208068907569,0.344966987561568,0,"binary",2
NA,1,200,80,0.00674246832309709,0.019028738108477,-0.0303868147354067,1.27321754724225,47.8993893052616,47.8993893052616,0.99287837152909,0.0551328895421792,12.8440366972477,12.1739130434783,11.6666666666667,NA,0.334715862933913,0.236644115094275,0.307000306394437,-0.588266035914965,0.600703186765773,-0.45497289776631,0.479761549389419,-0.495283162192646,0.603179421198473,-0.423170623628855,0.558762178686311,0,"binary",1
NA,1,200,80,-0.502794045824705,-0.470686209369881,-0.568528951206207,1.26882535165122,92.6342062967453,92.6342062967453,0.369218706778742,0.0551328895421792,4.58715596330275,5.21739130434783,5,NA,1.32696637866152,0.938165229713689,1.21708926865123,-1.04624132035388,0.109468809296058,-0.918937441450956,0.00604667884385907,-1.04765004855019,0.0925296830451013,-0.913689991490553,0.0082353707212997,0,"binary",2
NA,1,200,100,-0.166158090485009,-0.158888158081005,-0.169864143415966,1.64603473884743,72.5803198279507,72.5803198279507,0.663183811485587,0.0551328895421792,13.1868131868132,12.5,12,NA,0.308754702293971,0.218289574521906,0.309846841652713,-0.702989478705701,0.389532789068117,-0.638791630848139,0.299543738782291,-0.715059370043343,0.3724309299994,-0.641091856972066,0.288904817340329,0,"binary",1
NA,1,200,100,0.443288567237117,0.420731918212898,0.384860261316845,1.28499218555578,89.8575074239284,89.8575074239284,0.34585116951071,0.0551328895421792,3.2967032967033,3.125,3,NA,1.1389327339723,0.805225442918669,1.14296141193733,-0.15525566575059,0.95410322084803,-0.15525566575059,0.836913261742956,-0.152510428710695,0.935855837715751,-0.121981299782687,0.871412263250403,0,"binary",2
NA,1,200,120,0.121899898137063,0.146676556973372,0.0627121076058909,1.50839718226218,68.0007922591486,68.0007922591486,0.947454043327892,0.0551328895421792,23.2876712328767,22.0779220779221,21.25,NA,0.252212018849813,0.178313897326824,0.295098324044399,-0.412311889565511,0.794413505401747,-0.412311889565511,0.569711765186477,-0.408723122580661,0.795766038232105,-0.286960489396585,0.753137238564563,0,"binary",1
NA,1,200,120,-0.206072468013966,-0.193006682158874,-0.29228585703341,1.67028552129688,80.0377400090861,80.0377400090861,0.708990073099167,0.0551328895421792,9.58904109589041,9.09090909090909,8.75,NA,0.280614993836086,0.19839480064212,0.328330960437177,-0.588325697939532,0.11811407960113,-0.512163066584194,0.11811407960113,-0.5647340058622,0.181108022283159,-0.513422872953396,0.117389432993989,0,"binary",2
NA,1,300,120,0.673902465072353,0.667224044348175,0.809344504662262,0.995579515480703,95.8588589870859,95.8588589870859,0.252860707076116,0.0551328895421792,0,0,1.11111111111111,NA,2.35857608602532,1.66751329282049,2.13201340796321,0.0579792240701859,1.53208356541687,0.0770771950950263,1.19150905593106,-0.0414991853086771,1.48303626220814,0.0782287775911671,1.19527865178512,0,"binary",1
