"beta","SE","CI_low_95_freq","CI_high_95_freq","p_value","chains","iterations","warmup","Prior_Distribution","Prior_Location","Prior_Scale","Median","Mean","MAP","MAP_density","p_direction","p_direction_AUC","p_MAP","ROPE_range","ROPE_90","ROPE_95","ROPE_full","p_ROPE","BF","CI_low_95_hdi","CI_high_95_hdi","CI_low_90_hdi","CI_high_90_hdi","CI_low_89_hdi","CI_high_89_hdi","CI_low_95_quantile","CI_high_95_quantile","CI_low_90_quantile","CI_high_90_quantile","CI_low_89_quantile","CI_high_89_quantile","Prior","true_effect","sample_size","outcome_type","error","iteration","n"
0.172782343649558,0.463428612098646,-0.744485147474937,1.15134316506019,0.709271352834012,4,2000,0.5,"normal",0,1,0.165617802605784,0.168245334261869,0.077377191959674,0.868298339910485,64.825,63.9696568073363,0.967816103395468,0.0551328895421792,10.6359344626493,10.0762957116548,9.575,-0.1,0.466313363065519,-0.657454589300574,1.07501039738006,-0.541466960721498,0.912114783651651,-0.545296479219269,0.876462593965222,-0.695458372578605,1.04313197517794,-0.547364333193092,0.909126562393493,-0.53151847836211,0.89222581935396,"Uninformative",0,20,"binary",0.33,1,1
0.0576343873340388,0.37833682614036,-0.714934782356268,0.832069729677326,0.878921789381888,4,2000,0.5,"normal",0,1,0.0508614359196537,0.0506910031973038,0.0749630617163697,1.05602062540028,54.95,54.8833338666828,0.988543543766913,0.0551328895421792,12.3021382949181,11.6548276769271,11.075,4.2,0.36805132553006,-0.698955880614382,0.736393678395525,-0.575479438351192,0.633844989693872,-0.5446372621878,0.627132481547637,-0.669736585579548,0.768852416066913,-0.559374665534965,0.652740545459857,-0.541512766486083,0.630935926013357,"Uninformative",0,30,"binary",0.33,1,2
-0.335981579798692,0.331616426334156,-1.0230360508343,0.30121701197727,0.31098218582321,4,2000,0.5,"normal",0,1,-0.319028417568104,-0.319760337446656,-0.334580557262516,1.25988156893945,84.375,84.1916775439416,0.596857011947397,0.0551328895421792,8.96973063038045,8.49776374638253,8.075,-0.1,0.535433654329534,-0.921387868448837,0.319231446030777,-0.796833451470828,0.244907355695586,-0.819895048409747,0.193188323168946,-0.97436538789054,0.283984024809886,-0.84203941118499,0.207055716027118,-0.822056917915303,0.191143877042716,"Uninformative",0,40,"binary",0.33,1,3
-0.418856824256731,0.304537969971443,-1.05630733796712,0.157014986302444,0.169012250720592,4,2000,0.5,"normal",0,1,-0.406349807435827,-0.408155130126204,-0.416592659474193,1.36584549159862,91.375,91.5014991313367,0.406329883271429,0.0551328895421792,6.97028603165787,6.60352538805578,6.275,76.8,0.743593050265448,-1.0090396692537,0.169011161923801,-0.923080918450001,0.0611124572248005,-0.882923809574765,0.0733571258322608,-1.01352658698472,0.166556276512067,-0.91514031410836,0.0748095736934532,-0.897061836308989,0.0601565983638974,"Uninformative",0,50,"binary",0.33,1,4
0.213278870123923,0.26391703754532,-0.299555006450228,0.74839188065711,0.419016633416918,4,2000,0.5,"normal",0,1,0.203122273295296,0.212638492264659,0.171747039965434,1.52500758594097,79.075,78.6839541508895,0.738747344876473,0.0551328895421792,13.6351013607331,12.917653249145,12.275,27.1,0.343271156456032,-0.297474251736369,0.720556476473417,-0.210879633525184,0.646152503691991,-0.22942293555596,0.607248481996359,-0.278923711925809,0.739847625388016,-0.208502803626596,0.652241666099293,-0.201022218355207,0.639055282844921,"Uninformative",0,60,"binary",0.33,1,5
0.00978650770995333,0.240896600888558,-0.469097066130957,0.490908102369959,0.967594577817117,4,2000,0.5,"normal",0,1,0.00902811669183117,0.011671147512764,0.00111457085253097,1.72456236674363,51.875,51.5079549175923,0.999990215214236,0.0551328895421792,21.6051096917523,20.4682978163641,19.45,0.1,0.233905538895708,-0.454672314018123,0.490773608259449,-0.407904438237947,0.39689582083439,-0.386515232815743,0.392232863648522,-0.461615761884473,0.486224565530696,-0.384046013990286,0.422346692691821,-0.37668111271522,0.411652061137659,"Uninformative",0,70,"binary",0.33,1,6
0.0489796707232016,0.226933565915199,-0.398538319878505,0.500191017813216,0.829118204556317,4,2000,0.5,"normal",0,1,0.0355288001761682,0.0407032923091794,0.0122173294208321,1.79921788116308,56.825,56.3913296008894,0.997267932058945,0.0551328895421792,22.4659816717578,21.2838726650881,20.225,0.1,0.231945471199065,-0.417354560692353,0.495586992947187,-0.337345598157051,0.432653503304136,-0.314717357220333,0.43000325001731,-0.41316349041039,0.499908096911087,-0.343632864089321,0.428891027363338,-0.328884427216435,0.418458205205539,"Uninformative",0,80,"binary",0.33,1,7
0.163640630987468,0.215057143102792,-0.255088723548661,0.596334662608585,0.446706658279779,4,2000,0.5,"normal",0,1,0.16556471148257,0.167989719827389,0.143342027262767,1.77835394212149,77.7,78.1073683775396,0.788407580305571,0.0551328895421792,17.2452096639822,16.3378058405683,15.525,21.1,0.287906775438716,-0.254586495582683,0.596304433003937,-0.217977972068815,0.506847150582725,-0.154271430845304,0.545221013488208,-0.253602383296086,0.596783596985848,-0.195473713679877,0.531825745469284,-0.18665913995555,0.526709020240071,"Uninformative",0,90,"binary",0.33,1,8
-0.0554200854670403,0.205420120390927,-0.464150845706205,0.348701184726975,0.787322598578132,4,2000,0.5,"normal",0,1,-0.0623263755571272,-0.0623367971808835,-0.0583091822840168,1.92698470127469,61.675,61.7100744729487,0.956183346969323,0.0551328895421792,22.882532629825,21.6785056564062,20.6,0.2,0.208191365609359,-0.448604686218479,0.346139059143845,-0.409645121952431,0.258657079933025,-0.398122405372979,0.247870699943252,-0.463764715887804,0.334735205473307,-0.394669449907927,0.274064790208218,-0.383167568725552,0.263740659130638,"Uninformative",0,100,"binary",0.33,1,9
-0.645665721572746,0.526804228872965,-1.84934461522646,0.305352810519519,0.220338904622387,4,2000,0.5,"normal",0,1,-0.57202473863566,-0.582430375264897,-0.560143283940205,0.853031373914079,89.475,89.7427153282377,0.478747608706843,0.0551328895421792,4.66537073035268,4.41988950276243,4.2,74.7,0.945364449951701,-1.53432900747476,0.263792356481348,-1.34490243758785,0.176409136903294,-1.30150314022807,0.170315174106059,-1.52149730366618,0.293084472233128,-1.38045866889794,0.153843761967916,-1.35274089003293,0.135875756986219,"Uninformative",0,20,"binary",0.393939393939394,1,10
